0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,19,0,0,1,1,0.1,0.06,0,255,19,0.07,0.07,0,0,0,0,1,1,6,,
0,1,47,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,15,0,0,0,0,0.12,0.8,0,255,15,0.06,0.93,1,0,0,0,0,0,3,,
0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,1,1,0.38,0.25,0,255,59,0.23,0.11,0.01,0,0,0,1,1,6,,
0,2,12,9,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,499,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,14,,
0,1,9,9,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,216,0,0,0,0,1,0,0.01,255,229,0.9,0.01,0.01,0,0,0,0,0,3,,
0,0,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,2,1,1,0,0,0.01,0.09,0,255,2,0.01,0.09,0,0,1,1,0,0,6,,
5,0,45,9,32,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.5,1,0,255,245,0.96,0.02,0,0,0,0,0.02,0,0,,
0,1,42,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,1,0,0,0,0,0,0.93,0,255,1,0,0.86,0.99,0,0,0,0,0,7,,
0,1,47,9,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,1,0,0,255,56,0.22,0.02,0.22,0,0.19,0,0.31,0,16,,
7605,0,58,9,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0.14,0,0.43,1,0,0.71,255,174,0.68,0.03,0,0,0.33,0.48,0.11,0.07,2,,
0,2,11,9,40008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,219,145,0.5,0.02,0.5,0.13,0,0,0.01,0,3,,
280,0,17,9,283618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,8,30,1,0,1,0.13,0,0,0,0,12,,
0,0,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,10,0,0,1,1,0.09,0.08,0,255,10,0.04,0.06,0,0,0,0,1,1,6,,
0,1,42,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,1,0,0,0,0,0,1,0,255,1,0,1,1,0,0,0,0,0,7,,
0,0,17,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,11,1,0,1,0.27,0,0,0,0,12,,
0,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0.59,0.59,0.38,0.38,1,0,0,255,255,1,0,0,0,0.12,0.12,0.7,0.7,10,,
0,1,9,9,45,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,181,0,0,0,0,1,0,0.01,255,254,1,0.01,0,0,0,0,0,0,3,,
0,1,47,9,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,3,,
0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0.5,1,1,78,48,0.13,0.06,0.01,0.04,0,0,0.9,1,9,,
0,0,21,9,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0.04,0.04,5,,
0,0,17,9,8334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,1,0,1,0,0,0,0,0,12,,
0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,1,0.03,0,0.97,1,0,1,0,255,1,0,1,0,0,0.02,0,0.98,1,8,,
